Genre,Name,Platform,Publisher,Rank,Year,% Europe,% Japan,% North America,% Other,Europe Sales,Global Sales,Japan Sales,North America Sales,Number of Video Games,Other Sales
Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,76,2011,32%,1%,57%,10%,2.86,8.84,0.1,5.03,1,0.85
Racing,Super Mario Kart,SNES,Nintendo,77,1992,14%,43%,40%,2%,1.24,8.76,3.81,3.54,1,0.18
Sports,FIFA 16,PS4,Electronic Arts,78,2015,71%,1%,13%,15%,6.06,8.49,0.06,1.11,1,1.26
Misc,Wii Party,Wii,Nintendo,79,2010,42%,29%,21%,8%,3.53,8.49,2.49,1.79,1,0.68
Shooter,Halo 2,XB,Microsoft Game Studios,80,2004,18%,1%,80%,1%,1.53,8.49,0.05,6.82,1,0.08
Misc,Mario Party 8,Wii,Nintendo,81,2007,27%,19%,45%,9%,2.3,8.42,1.58,3.81,1,0.73
Role-Playing,Pokemon Black 2/Pokemon White 2,DS,Nintendo,82,2012,22%,38%,35%,5%,1.86,8.33,3.14,2.91,1,0.43
Action,FIFA Soccer 13,PS3,Electronic Arts,83,2012,61%,2%,13%,24%,5.05,8.24,0.13,1.06,1,2.01
Simulation,The Sims 3,PC,Electronic Arts,84,2009,79%,0%,12%,9%,6.42,8.11,0,0.98,1,0.71
Shooter,GoldenEye 007,N64,Nintendo,85,1997,25%,2%,72%,2%,2.01,8.09,0.13,5.8,1,0.15
Sports,Mario & Sonic at the Olympic Games,Wii,Sega,86,2007,48%,8%,32%,11%,3.9,8.06,0.66,2.58,1,0.91
Role-Playing,Final Fantasy X,PS2,Sony Computer Entertainment,87,2001,26%,34%,36%,4%,2.07,8.05,2.73,2.91,1,0.33
Role-Playing,Final Fantasy VIII,PS,SquareSoft,88,1999,22%,46%,29%,3%,1.72,7.86,3.63,2.28,1,0.23
Role-Playing,Pok̩mon Platinum Version,DS,Nintendo,89,2008,23%,34%,36%,7%,1.78,7.84,2.69,2.82,1,0.55
Puzzle,Pac-Man,2600,Atari,90,1982,6%,0%,93%,1%,0.45,7.81,0,7.28,1,0.08
Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,91,2005,37%,3%,38%,23%,2.83,7.72,0.24,2.9,1,1.75
Platform,Super Mario Galaxy 2,Wii,Nintendo,92,2010,31%,13%,48%,8%,2.42,7.69,0.98,3.66,1,0.64
Shooter,Star Wars Battlefront (2015),PS4,Electronic Arts,93,2015,43%,3%,38%,16%,3.29,7.67,0.22,2.93,1,1.23
Shooter,Call of Duty: Advanced Warfare,PS4,Activision,94,2014,43%,2%,37%,18%,3.3,7.6,0.14,2.8,1,1.37
Action,The Legend of Zelda: Ocarina of Time,N64,Nintendo,95,1998,25%,19%,54%,2%,1.89,7.6,1.45,4.1,1,0.16
Platform,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,96,1997,29%,17%,50%,4%,2.17,7.58,1.31,3.78,1,0.31
Platform,"Super Mario Bros, 2",NES,Nintendo,97,1988,16%,9%,72%,3%,1.18,7.46,0.7,5.39,1,0.19
Fighting,"Super Smash Bros, for Wii U and 3DS",3DS,Nintendo,98,2014,18%,32%,43%,6%,1.35,7.45,2.42,3.24,1,0.43
Shooter,Call of Duty: World at War,X360,Activision,99,2008,26%,0%,65%,9%,1.9,7.37,0,4.79,1,0.69
Shooter,Battlefield 3,X360,Electronic Arts,100,2011,29%,1%,61%,9%,2.13,7.34,0.06,4.46,1,0.69
Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,101,2006,30%,8%,52%,10%,2.19,7.31,0.6,3.83,1,0.7
Shooter,Call of Duty: Black Ops 3,XOne,Activision,102,2015,29%,0%,62%,9%,2.09,7.3,0.01,4.52,1,0.67
Misc,Just Dance,Wii,Ubisoft,103,2009,42%,0%,48%,10%,3.03,7.27,0,3.51,1,0.73
Shooter,Battlefield 3,PS3,Electronic Arts,104,2011,41%,5%,39%,15%,2.93,7.23,0.35,2.85,1,1.1
Racing,Need for Speed Underground,PS2,Electronic Arts,105,2003,39%,1%,45%,14%,2.83,7.2,0.08,3.27,1,1.02
Fighting,Tekken 3,PS,Sony Computer Entertainment,106,1998,31%,20%,46%,4%,2.22,7.16,1.4,3.27,1,0.29
Platform,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,107,1998,25%,20%,52%,4%,1.75,7.13,1.42,3.68,1,0.28
Fighting,"Super Smash Bros, Melee",GC,Nintendo,108,2001,15%,20%,62%,3%,1.04,7.07,1.39,4.41,1,0.22
Racing,Mario Kart 8,WiiU,Nintendo,109,2014,30%,18%,45%,7%,2.07,6.96,1.27,3.13,1,0.49
Role-Playing,Fallout 4,PS4,Bethesda Softworks,110,2015,45%,3%,35%,16%,3.15,6.96,0.24,2.47,1,1.1
Racing,Mario Kart: Double Dash!!,GC,Nintendo,111,2003,25%,13%,59%,3%,1.77,6.95,0.87,4.12,1,0.19
Misc,Just Dance 4,Wii,Ubisoft,112,2012,32%,0%,60%,8%,2.21,6.91,0,4.14,1,0.56
Sports,FIFA 14,PS3,Electronic Arts,113,2013,63%,1%,11%,25%,4.32,6.9,0.07,0.78,1,1.73
Racing,Need for Speed Underground 2,PS2,Electronic Arts,114,2004,44%,1%,39%,16%,3.02,6.9,0.08,2.71,1,1.09
Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,115,2002,40%,2%,43%,14%,2.75,6.83,0.17,2.93,1,0.99
Action,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,116,2011,41%,3%,41%,16%,2.8,6.83,0.19,2.77,1,1.06
Platform,Crash Bandicoot,PS,Sony Computer Entertainment,117,1996,34%,14%,47%,4%,2.35,6.82,0.94,3.23,1,0.3
Sports,Zumba Fitness,Wii,505 Games,118,2010,39%,0%,51%,10%,2.64,6.81,0,3.5,1,0.67
Shooter,Gears of War 2,X360,Microsoft Game Studios,119,2008,28%,1%,61%,9%,1.92,6.76,0.06,4.15,1,0.64
Action,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,120,2009,33%,3%,49%,15%,2.25,6.73,0.21,3.27,1,1
Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,121,2007,34%,4%,46%,15%,2.3,6.72,0.28,3.1,1,1.04
Sports,FIFA 12,PS3,Electronic Arts,122,2011,65%,2%,13%,21%,4.32,6.69,0.11,0.84,1,1.42
Misc,Big Brain Academy,DS,Nintendo,123,2005,42%,24%,25%,9%,2.78,6.67,1.6,1.67,1,0.62
Action,Red Dead Redemption,PS3,Take-Two Interactive,124,2010,40%,3%,42%,16%,2.61,6.6,0.17,2.79,1,1.03
Sports,FIFA 15,PS4,Electronic Arts,125,2014,65%,1%,12%,22%,4.29,6.59,0.05,0.79,1,1.47
Platform,Donkey Kong Country Returns,Wii,Nintendo,126,2010,28%,16%,49%,7%,1.84,6.59,1.03,3.25,1,0.47
Role-Playing,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,127,2011,41%,4%,39%,16%,2.71,6.56,0.25,2.55,1,1.05
Action,The Legend of Zelda,NES,Nintendo,128,1986,14%,26%,57%,2%,0.93,6.51,1.69,3.74,1,0.14
Action,Assassin's Creed III,PS3,Ubisoft,129,2012,39%,2%,41%,18%,2.56,6.5,0.16,2.64,1,1.14
Shooter,Halo: Combat Evolved,XB,Microsoft Game Studios,130,2001,20%,1%,77%,1%,1.3,6.43,0.08,4.98,1,0.07
Role-Playing,Pok̩mon Emerald Version,GBA,Nintendo,131,2004,25%,32%,40%,3%,1.58,6.41,2.06,2.57,1,0.21
Role-Playing,Kingdom Hearts,PS2,Sony Computer Entertainment,132,2002,19%,23%,57%,1%,1.2,6.4,1.49,3.64,1,0.07
Role-Playing,Pok̩mon Crystal Version,GB,Nintendo,133,2000,24%,20%,40%,15%,1.56,6.39,1.29,2.55,1,0.99
Shooter,Halo 3: ODST,X360,Microsoft Game Studios,134,2009,21%,1%,68%,10%,1.35,6.36,0.06,4.34,1,0.61
Action,Red Dead Redemption,X360,Take-Two Interactive,135,2010,31%,1%,58%,9%,1.97,6.34,0.09,3.7,1,0.57
Platform,Super Mario Sunshine,GC,Nintendo,136,2002,20%,14%,64%,3%,1.26,6.31,0.87,4.01,1,0.17
Fighting,Street Fighter II: The World Warrior,SNES,Capcom,137,1992,13%,46%,39%,2%,0.83,6.3,2.87,2.47,1,0.12
Role-Playing,World of Warcraft,PC,Activision,138,2004,99%,0%,1%,0%,6.21,6.28,0,0.07,1,0
Action,Driver,PS,GT Interactive,139,1999,45%,0%,50%,5%,2.8,6.27,0.02,3.11,1,0.33
Sports,Kinect Sports,X360,Microsoft Game Studios,140,2010,29%,0%,63%,8%,1.78,6.24,0.03,3.92,1,0.51
Shooter,Gears of War 3,X360,Microsoft Game Studios,141,2011,26%,1%,65%,8%,1.62,6.24,0.07,4.05,1,0.49
Shooter,Gears of War,X360,Microsoft Game Studios,142,2006,31%,1%,58%,10%,1.9,6.11,0.07,3.54,1,0.6
Action,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,143,2001,33%,14%,40%,12%,2.01,6.05,0.87,2.45,1,0.72
Platform,Sonic the Hedgehog 2,GEN,Sega,144,1992,20%,3%,74%,3%,1.2,6.03,0.16,4.47,1,0.19
Action,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,145,2008,29%,14%,44%,14%,1.74,6.03,0.83,2.63,1,0.83
Action,Metal Gear Solid,PS,Konami Digital Entertainment,146,1998,30%,13%,53%,4%,1.83,6.03,0.78,3.18,1,0.24
Action,The Last of Us,PS3,Sony Computer Entertainment Europe,147,2013,38%,5%,40%,17%,2.28,5.99,0.28,2.41,1,1.01
Role-Playing,Final Fantasy XII,PS2,Square Enix,148,2006,0%,39%,32%,29%,0,5.95,2.33,1.88,1,1.74
Platform,LittleBigPlanet,PS3,Sony Computer Entertainment,149,2008,35%,3%,47%,15%,2.05,5.92,0.17,2.8,1,0.9
Role-Playing,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,150,2009,12%,74%,11%,3%,0.69,5.84,4.35,0.66,1,0.15
Action,LEGO Star Wars: The Complete Saga,Wii,LucasArts,151,2007,28%,0%,63%,9%,1.63,5.83,0,3.66,1,0.53
Action,Resident Evil 2,PS,Virgin Interactive,152,1998,25%,35%,32%,8%,1.47,5.82,2.02,1.88,1,0.45
Fighting,Tekken 2,PS,Sony Computer Entertainment,153,1996,33%,24%,39%,4%,1.89,5.74,1.36,2.26,1,0.23
Simulation,Cooking Mama,DS,505 Games,154,2006,34%,1%,55%,10%,1.94,5.72,0.07,3.13,1,0.58
Shooter,Destiny,PS4,Activision,155,2014,36%,3%,44%,17%,2.05,5.65,0.16,2.49,1,0.96
Puzzle,Tetris,NES,Nintendo,156,1988,12%,32%,53%,2%,0.69,5.58,1.81,2.97,1,0.11
Action,Assassin's Creed II,PS3,Ubisoft,157,2009,35%,4%,46%,16%,1.95,5.57,0.21,2.54,1,0.87
Fighting,"Super Smash Bros,",N64,Nintendo,158,1999,11%,35%,53%,1%,0.6,5.55,1.97,2.95,1,0.04
Adventure,Assassin's Creed,X360,Ubisoft,159,2007,30%,1%,59%,10%,1.65,5.55,0.07,3.28,1,0.55
Action,Batman: Arkham City,PS3,"Warner Bros, Interactive Entertainment",160,2011,35%,2%,49%,14%,1.91,5.53,0.11,2.7,1,0.8
Racing,Forza Motorsport 3,X360,Microsoft Game Studios,161,2009,35%,2%,54%,9%,1.92,5.51,0.1,2.99,1,0.51
Role-Playing,Monster Hunter Freedom Unite,PSP,Capcom,162,2008,10%,75%,9%,6%,0.57,5.5,4.13,0.47,1,0.34
Platform,Super Mario Advance,GBA,Nintendo,163,2001,23%,17%,57%,4%,1.24,5.49,0.91,3.14,1,0.2
Racing,Mario Kart: Super Circuit,GBA,Nintendo,164,2001,30%,18%,48%,4%,1.64,5.47,0.99,2.62,1,0.23
Platform,Super Mario World,GBA,Nintendo,165,2001,20%,17%,59%,4%,1.11,5.46,0.95,3.21,1,0.2
Strategy,Pokemon Stadium,N64,Nintendo,166,1999,23%,17%,58%,2%,1.24,5.45,0.94,3.18,1,0.09
Shooter,Call of Duty: World at War,PS3,Activision,167,2008,34%,0%,50%,15%,1.87,5.43,0,2.72,1,0.84
Platform,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,168,2001,42%,4%,38%,15%,2.29,5.42,0.24,2.07,1,0.82
Misc,Minecraft,PS3,Sony Computer Entertainment,169,2014,46%,0%,36%,17%,2.51,5.42,0,1.97,1,0.94
Role-Playing,Final Fantasy XIII,PS3,Square Enix,170,2009,23%,35%,32%,10%,1.24,5.36,1.87,1.74,1,0.52
Puzzle,"Dr, Mario",GB,Nintendo,171,1989,18%,37%,41%,4%,0.96,5.34,2,2.18,1,0.2
Misc,Pokemon Pinball,GB,Nintendo,172,1999,21%,19%,57%,3%,1.12,5.31,1.01,3.02,1,0.16
Action,Assassin's Creed III,X360,Ubisoft,173,2012,32%,1%,59%,8%,1.71,5.3,0.03,3.13,1,0.44
Role-Playing,Final Fantasy IX,PS,SquareSoft,174,2000,15%,52%,31%,3%,0.77,5.3,2.78,1.62,1,0.14
Role-Playing,Final Fantasy X-2,PS2,Electronic Arts,175,2003,20%,40%,36%,3%,1.08,5.29,2.11,1.92,1,0.17
Platform,Donkey Kong 64,N64,Nintendo,176,1999,15%,21%,63%,1%,0.79,5.27,1.09,3.33,1,0.06
Action,Assassin's Creed II,X360,Ubisoft,177,2009,30%,2%,59%,10%,1.56,5.27,0.08,3.1,1,0.51
Puzzle,Professor Layton and the Curious Village,DS,Nintendo,178,2007,47%,20%,23%,10%,2.48,5.26,1.03,1.22,1,0.52
Action,Tomb Raider II,PS,Eidos Interactive,179,1997,47%,4%,44%,5%,2.46,5.24,0.2,2.3,1,0.28
Sports,Madden NFL 2004,PS2,Electronic Arts,180,,5%,0%,81%,14%,0.26,5.23,0.01,4.26,1,0.71
Role-Playing,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,181,2004,14%,69%,12%,4%,0.75,5.21,3.61,0.65,1,0.2
Role-Playing,Diablo III,PC,Activision,182,2012,41%,0%,47%,12%,2.15,5.2,0,2.43,1,0.62
Platform,"Super Mario Bros, 3",GBA,Nintendo,183,2003,24%,16%,56%,4%,1.25,5.2,0.83,2.93,1,0.2
Platform,"New Super Mario Bros, U",WiiU,Nintendo,184,2012,25%,24%,45%,6%,1.3,5.19,1.27,2.32,1,0.31
Platform,Super Mario Land 3: Wario Land,GB,Nintendo,185,1994,19%,30%,48%,3%,0.98,5.19,1.57,2.49,1,0.15
Action,FIFA Soccer 13,X360,Electronic Arts,186,2012,67%,1%,21%,11%,3.48,5.18,0.03,1.08,1,0.58
Action,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,187,2007,35%,18%,37%,9%,1.83,5.17,0.95,1.9,1,0.49
Platform,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,188,1995,14%,43%,41%,2%,0.74,5.15,2.2,2.1,1,0.11
Simulation,Tomodachi Life,3DS,Nintendo,189,2013,39%,37%,19%,5%,2.02,5.15,1.89,0.96,1,0.28
Sports,Mario & Sonic at the Olympic Games,DS,Sega,190,2008,48%,9%,32%,11%,2.48,5.14,0.44,1.64,1,0.58
Shooter,Medal of Honor: Rising Sun,PS2,Electronic Arts,191,2003,43%,3%,39%,16%,2.23,5.13,0.13,1.98,1,0.8
Platform,Kirby's Dream Land,GB,Nintendo,192,1992,12%,33%,53%,2%,0.61,5.13,1.7,2.71,1,0.11
Role-Playing,Fable III,X360,Microsoft Game Studios,193,2010,22%,1%,70%,7%,1.11,5.13,0.05,3.59,1,0.38
Shooter,Call of Duty: Advanced Warfare,XOne,Activision,194,2014,30%,0%,63%,7%,1.53,5.13,0.01,3.21,1,0.38
Simulation,Microsoft Flight Simulator,PC,Microsoft Game Studios,195,1996,33%,0%,63%,4%,1.69,5.12,0,3.22,1,0.2
Misc,Guitar Hero II,PS2,RedOctane,196,2006,12%,0%,74%,13%,0.63,5.12,0,3.81,1,0.68
Action,Resident Evil 5,PS3,Capcom,197,2009,28%,21%,38%,13%,1.43,5.11,1.08,1.96,1,0.65
Action,Grand Theft Auto V,XOne,Take-Two Interactive,198,2014,40%,0%,52%,8%,2.01,5.08,0,2.66,1,0.41
Action,Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,199,2006,40%,3%,33%,24%,2.02,5.08,0.16,1.7,1,1.21
Sports,FIFA Soccer 11,PS3,Electronic Arts,200,2010,65%,1%,12%,22%,3.29,5.08,0.06,0.6,1,1.13
Platform,"Super Mario Bros,",GB,Nintendo,201,1999,26%,3%,67%,4%,1.3,5.07,0.15,3.4,1,0.22
Action,Resident Evil,PS,Virgin Interactive,202,1996,23%,22%,41%,14%,1.16,5.05,1.11,2.05,1,0.73
Sports,Tony Hawk's Pro Skater,PS,Activision,203,1999,27%,0%,68%,4%,1.38,5.02,0.02,3.42,1,0.2
Fighting,"Super Smash Bros, for Wii U and 3DS",WiiU,Nintendo,204,2014,21%,16%,52%,11%,1.06,5.02,0.8,2.59,1,0.57
Strategy,Warzone 2100,PS,Eidos Interactive,205,1999,38%,0%,56%,7%,1.89,5.01,0,2.79,1,0.33
Platform,Spyro the Dragon,PS,Sony Computer Entertainment,206,1998,27%,1%,67%,4%,1.36,5,0.07,3.36,1,0.21
Shooter,Link's Crossbow Training,Wii,Nintendo,207,2007,24%,6%,61%,9%,1.18,5,0.29,3.06,1,0.46
Misc,Guitar Hero III: Legends of Rock,PS2,Activision,208,2007,0%,0%,70%,30%,0.01,4.98,0.01,3.49,1,1.48
